name,owner,language,stars,forks,watchers,open_issues,created_date,updated_date,license
ivy,unifyai,Python,14171,5459,14171,985,2021-01-19 08:37:25+00:00,2026-08-22 21:46:23+00:00,Other
machine-learning-zoomcamp,DataTalksClub,Jupyter Notebook,14005,3106,14005,3,2020-04-17 04:29:23+00:00,2026-08-24 11:32:42+00:00,No License
handson-ml3,ageron,Jupyter Notebook,13989,5262,13989,107,2022-02-19 09:43:22+00:00,2026-08-24 09:50:29+00:00,Apache License 2.0
tvm,apache,Python,13680,3962,13680,235,2016-10-12 22:20:28+00:00,2026-08-24 04:48:50+00:00,Apache License 2.0
Ai-Learn,tangyudi,Unknown,13281,2674,13281,20,2020-01-28 01:55:06+00:00,2026-08-24 05:19:17+00:00,No License
deep-learning-drizzle,kmario23,HTML,12934,2988,12934,5,2018-11-26 01:17:36+00:00,2026-08-24 00:06:28+00:00,No License
machine-learning-interview,khangich,Unknown,12791,2046,12791,9,2020-08-11 06:26:32+00:00,2026-08-24 10:30:12+00:00,No License
python-machine-learning-book,rasbt,Jupyter Notebook,12643,4373,12643,13,2015-08-07 20:39:29+00:00,2026-08-24 10:22:13+00:00,MIT License
predictionio,apache,Scala,12518,1897,12518,80,2013-01-25 19:42:32+00:00,2026-08-21 05:59:51+00:00,Apache License 2.0
lime,marcotcr,JavaScript,12166,1847,12166,133,2016-03-15 22:18:10+00:00,2026-08-22 17:53:50+00:00,"BSD 2-Clause ""Simplified"" License"
cleanlab,cleanlab,Python,11632,917,11632,122,2018-05-11 01:55:21+00:00,2026-08-24 07:03:41+00:00,Apache License 2.0
dive-into-machine-learning,dive-into-machine-learning,Unknown,11390,1866,11390,0,2015-02-22 23:48:16+00:00,2026-08-20 20:37:28+00:00,Creative Commons Attribution 4.0 International
MLAlgorithms,rushter,Python,11168,1768,11168,10,2016-10-05 06:46:45+00:00,2026-08-24 08:07:27+00:00,MIT License
turicreate,apple,C++,11159,1118,11159,522,2017-12-01 00:42:04+00:00,2026-08-23 13:21:07+00:00,"BSD 3-Clause ""New"" or ""Revised"" License"
amazon-sagemaker-examples,aws,Jupyter Notebook,10980,6961,10980,849,2017-10-23 05:55:22+00:00,2026-08-23 12:50:33+00:00,Apache License 2.0
A-Curated-List-of-ML-System-Design-Case-Studies,Engineer1999,Unknown,10951,1681,10951,7,2024-05-18 15:42:58+00:00,2026-08-22 18:22:47+00:00,No License
dolly,databrickslabs,Python,10804,1139,10804,5,2023-03-24 16:15:53+00:00,2026-08-20 05:59:23+00:00,Apache License 2.0
doccano,doccano,Python,10757,1824,10757,397,2018-05-09 06:10:05+00:00,2026-08-24 10:04:14+00:00,MIT License
mlcourse.ai,Yorko,Python,10692,5696,10692,3,2017-02-27 08:32:20+00:00,2026-08-21 15:24:19+00:00,Other
machine-learning-systems-design,chiphuyen,HTML,10543,1633,10543,11,2019-11-24 23:16:28+00:00,2026-08-24 10:37:59+00:00,No License
Machine-Learning,Jack-Cherish,Python,10373,5064,10373,7,2017-03-25 07:32:37+00:00,2026-08-24 12:21:10+00:00,No License
machine-learning-notes,roboticcam,Jupyter Notebook,10341,1826,10341,28,2018-02-15 15:42:33+00:00,2026-08-24 10:39:11+00:00,No License
3D-Machine-Learning,timzhang642,Unknown,10191,1797,10191,21,2017-08-12 15:20:54+00:00,2026-08-21 09:19:46+00:00,No License
tpot,EpistasisLab,Jupyter Notebook,10052,1562,10052,312,2015-11-03 21:08:40+00:00,2026-08-24 12:00:23+00:00,GNU Lesser General Public License v3.0
sktime,sktime,Python,9963,2307,9963,2386,2018-11-06 15:08:24+00:00,2026-08-24 07:03:51+00:00,"BSD 3-Clause ""New"" or ""Revised"" License"
Stock-Prediction-Models,huseinzol05,Jupyter Notebook,9481,3046,9481,47,2017-12-18 10:49:59+00:00,2026-08-24 08:05:43+00:00,Apache License 2.0
cog,replicate,Go,9460,696,9460,70,2021-02-26 23:43:09+00:00,2026-08-22 06:21:40+00:00,Apache License 2.0
AIMLInterviews,alirezadir,Jupyter Notebook,9458,1665,9458,11,2021-01-31 03:52:09+00:00,2026-08-24 09:16:57+00:00,MIT License
golearn,sjwhitworth,Go,9439,1165,9439,89,2013-12-26 13:06:14+00:00,2026-08-22 06:12:09+00:00,MIT License
machinelearning,dotnet,C#,9352,1949,9352,1009,2018-05-03 16:20:42+00:00,2026-08-24 08:41:37+00:00,MIT License
awesome-ml-for-cybersecurity,jivoi,Unknown,9318,1941,9318,33,2016-12-20 12:46:36+00:00,2026-08-24 09:35:28+00:00,Other
awesome-project-ideas,NirantK,Unknown,9285,1292,9285,7,2017-08-19 09:37:58+00:00,2026-08-24 09:35:32+00:00,MIT License
catboost,catboost,C++,9075,1321,9075,715,2017-07-18 05:29:04+00:00,2026-08-24 11:50:29+00:00,Apache License 2.0
machine_learning_examples,lazyprogrammer,Python,8913,6402,8913,33,2014-07-31 23:40:45+00:00,2026-08-24 12:01:03+00:00,No License
state-of-the-art-result-for-machine-learning-problems,RedditSota,Unknown,8893,1293,8893,14,2017-11-09 01:21:40+00:00,2026-08-24 11:58:07+00:00,Apache License 2.0
pattern,clips,Python,8861,1558,8861,179,2011-05-03 15:29:01+00:00,2026-08-22 10:39:09+00:00,"BSD 3-Clause ""New"" or ""Revised"" License"
financial-machine-learning,firmai,Python,8757,1410,8757,15,2019-03-21 21:00:35+00:00,2026-08-24 08:59:21+00:00,No License
machinelearning,ljpzzz,Jupyter Notebook,8706,3686,8706,17,2016-05-12 07:06:34+00:00,2026-08-21 06:07:46+00:00,MIT License
vowpal_wabbit,VowpalWabbit,C++,8706,1926,8706,1,2009-07-31 19:36:58+00:00,2026-08-23 14:15:05+00:00,Other
MachineLearning_Python,lawlite19,Python,8582,2515,8582,10,2016-10-17 15:44:59+00:00,2026-08-24 01:16:06+00:00,MIT License
Machine-Learning-Collection,aladdinpersson,Python,8488,2784,8488,118,2020-03-26 07:02:40+00:00,2026-08-24 07:23:55+00:00,MIT License
approachingalmost,abhishekkrthakur,Unknown,8373,1122,8373,54,2020-07-04 07:13:20+00:00,2026-08-22 21:54:43+00:00,No License
introduction_to_ml_with_python,amueller,Jupyter Notebook,8156,4671,8156,28,2016-05-29 18:29:47+00:00,2026-08-24 13:29:51+00:00,No License
auto-sklearn,automl,Python,8125,1324,8125,207,2015-07-02 15:38:10+00:00,2026-08-24 11:58:14+00:00,"BSD 3-Clause ""New"" or ""Revised"" License"
machine-learning-cheat-sheet,soulmachine,TeX,8044,1332,8044,11,2013-05-09 07:43:59+00:00,2026-08-23 02:13:48+00:00,No License
cortex,cortexlabs,Go,8011,594,8011,132,2019-01-24 04:43:14+00:00,2026-08-20 21:08:25+00:00,Apache License 2.0
machine-learning-roadmap,mrdbourke,Unknown,7894,1168,7894,12,2020-07-09 07:07:47+00:00,2026-08-24 05:15:46+00:00,MIT License
machine-learning-yearning-cn,deeplearning-ai,CSS,7845,1499,7845,4,2018-06-19 19:26:39+00:00,2026-08-23 08:15:51+00:00,Other
Machine-Learning-Specialization-Coursera,greyhatguy007,Jupyter Notebook,7808,3729,7808,26,2022-06-16 15:31:02+00:00,2026-08-24 09:38:33+00:00,MIT License
Machine-learning-learning-notes,Vay-keen,Unknown,7763,1879,7763,28,2018-03-24 06:48:10+00:00,2026-08-24 10:24:38+00:00,No License
awesome-youtubers,JoseDeFreitas,Markdown,7747,498,7747,2,2020-08-25 14:18:15+00:00,2026-08-24 09:36:47+00:00,Creative Commons Zero v1.0 Universal
Learn_Machine_Learning_in_3_Months,llSourcell,Unknown,7603,2311,7603,19,2018-03-02 10:59:53+00:00,2026-08-21 16:08:33+00:00,No License
h2o-3,h2oai,Jupyter Notebook,7495,2025,7495,2883,2014-03-03 16:08:07+00:00,2026-08-21 06:04:07+00:00,Apache License 2.0
industry-machine-learning,firmai,Jupyter Notebook,7484,1249,7484,3,2019-05-03 05:08:15+00:00,2026-08-23 10:20:34+00:00,No License
